,param_config,train_loss,validation_loss,test_loss,train_accuracy,validation_accuracy,test_accuracy,run_time,memory_consumption
15,"num_filters = 64, activcation_func = relu",0.03735436126589775,0.028129786252975464,0.03264394402503967,0.9856356978416443,0.9884165525436401,0.986748218536377,60.268739461898804,609492992
14,"num_filters = 32, activcation_func = selu",0.06007791683077812,0.03711458295583725,0.03992965817451477,0.9781638979911804,0.9859840273857117,0.9860068559646606,43.58365726470947,586416128
11,"num_filters = 32, activcation_func = elu",0.05621299520134926,0.03348677605390549,0.036378517746925354,0.979785680770874,0.9885323643684387,0.9859141707420349,43.06375765800476,516395008
20,"num_filters = 128, activcation_func = relu",0.03391966596245766,0.03620490804314613,0.040457289665937424,0.986620306968689,0.9863315224647522,0.985821545124054,138.8461091518402,675880960
21,"num_filters = 128, activcation_func = elu",0.043769482523202896,0.03454281762242317,0.0364232175052166,0.9845641255378723,0.9869107007980347,0.9857288599014282,147.9457230567932,701837312
23,"num_filters = 128, activcation_func = sigmoid",0.04567757248878479,0.03935512155294418,0.041732847690582275,0.9837532639503479,0.9874898791313171,0.9849874973297119,142.08073234558105,687095808
17,"num_filters = 64, activcation_func = tanh",0.04060648754239082,0.03378738835453987,0.035892270505428314,0.9858384132385254,0.9874898791313171,0.9849874973297119,56.00927519798279,596938752
10,"num_filters = 32, activcation_func = relu",0.04465891420841217,0.035872504115104675,0.037032052874565125,0.9832029938697815,0.9858681559562683,0.984524130821228,41.331090450286865,502206464
5,"num_filters = 16, activcation_func = relu",0.07684726268053055,0.044893860816955566,0.04739345237612724,0.9730958342552185,0.9854048490524292,0.9842461347579956,30.20716404914856,433971200
12,"num_filters = 32, activcation_func = tanh",0.05796888470649719,0.040555670857429504,0.04270835965871811,0.9814943671226501,0.9850573539733887,0.9841534495353699,40.5580108165741,538611712
19,"num_filters = 64, activcation_func = selu",0.04789673164486885,0.0369691401720047,0.04002615064382553,0.9821604490280151,0.9854048490524292,0.983690083026886,60.67899966239929,647999488
24,"num_filters = 128, activcation_func = selu",0.050225622951984406,0.04493788629770279,0.04922625422477722,0.9829423427581787,0.9842464923858643,0.9834120869636536,146.72949147224426,705441792
6,"num_filters = 16, activcation_func = elu",0.08193573355674744,0.04863832890987396,0.05229787528514862,0.970344603061676,0.9854048490524292,0.9833194613456726,31.790293216705322,448593920
9,"num_filters = 16, activcation_func = selu",0.09487079828977585,0.05185598134994507,0.055015310645103455,0.9661743640899658,0.9844781756401062,0.9823927283287048,31.29325008392334,519208960
16,"num_filters = 64, activcation_func = elu",0.043819814920425415,0.043328069150447845,0.039651427417993546,0.9835505485534668,0.9798448085784912,0.9823927283287048,61.12802863121033,579993600
18,"num_filters = 64, activcation_func = sigmoid",0.06155746802687645,0.05283183604478836,0.05634922906756401,0.980683445930481,0.9842464923858643,0.9809100031852722,56.61292624473572,622653440
22,"num_filters = 128, activcation_func = tanh",0.033579226583242416,0.03584257513284683,0.041782692074775696,0.9878656268119812,0.9819297790527344,0.9806320071220398,142.35372138023376,678637568
7,"num_filters = 16, activcation_func = tanh",0.10179935395717621,0.06924174726009369,0.07343148440122604,0.9670141935348511,0.9821614623069763,0.9796126484870911,29.51515507698059,472522752
13,"num_filters = 32, activcation_func = sigmoid",0.11896799504756927,0.0971851497888565,0.10195442289113998,0.9662032723426819,0.9778755903244019,0.9745157957077026,41.34616303443909,562401280
4,"num_filters = 8, activcation_func = selu",0.1848769336938858,0.10708203166723251,0.11080309003591537,0.9334491491317749,0.9717363715171814,0.9708089828491211,27.896034002304077,455376896
0,"num_filters = 8, activcation_func = relu",0.1670861840248108,0.09803830087184906,0.10486059635877609,0.9397335648536682,0.971620500087738,0.9694189429283142,35.615838289260864,353386496
1,"num_filters = 8, activcation_func = elu",0.17004838585853577,0.10476184636354446,0.11171954870223999,0.9396756291389465,0.9728947281837463,0.9693263173103333,31.618618965148926,379744256
2,"num_filters = 8, activcation_func = tanh",0.1862756460905075,0.13455967605113983,0.14068718254566193,0.9361714720726013,0.9686088562011719,0.9628394246101379,26.748804807662964,405032960
8,"num_filters = 16, activcation_func = sigmoid",0.22049954533576965,0.1852383017539978,0.19458340108394623,0.9337387681007385,0.9535503387451172,0.9497729539871216,30.124855756759644,495116288
3,"num_filters = 8, activcation_func = sigmoid",0.4061100482940674,0.35201600193977356,0.35711434483528137,0.852331280708313,0.8815011978149414,0.8753591179847717,26.587180852890015,431267840
